ts,device_id,value
2025-09-08 12:30:02.304200+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.3
2025-09-08 13:00:02.362244+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.4
2025-09-08 13:30:01.921811+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-08 14:00:02.200045+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.6
2025-09-08 14:30:02.625804+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-08 15:00:02.376775+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
2025-09-08 15:30:02.166783+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-08 16:00:02.419842+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-08 16:30:02.211041+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.5
2025-09-08 17:00:02.144363+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.5
2025-09-08 17:30:02.298819+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.3
2025-09-08 18:00:02.033061+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-08 18:30:01.971899+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,26.7
2025-09-08 19:00:02.079234+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-08 19:30:01.914142+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.0
2025-09-08 20:00:02.292579+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-08 20:30:02.200379+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-08 21:00:02.249543+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-08 21:30:02.122791+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.1
2025-09-08 22:00:02.126029+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-08 22:30:01.877368+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.2
2025-09-08 23:00:02.224122+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.3
2025-09-08 23:30:02.124868+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,28.4
2025-09-09 00:00:02.048194+00:00,232928c2-22a1-498d-aec0-71d0a48ee43a,27.0
